Order_0,Order_1,Order_2,Order_3,Order_4,Order_5,Order_6,Order_7,Order_8,Order_9,Order_10,Order_11,Order_12,Order_13,Order_14,Order_15,Order_16,Order_17,Order_18,Order_19
120.0,-0.1,0.0,8.92857142857143e-08,-2.1494708994709e-10,4.984367484367484e-13,-9.5766502016502e-16,1.4341609393692723e-18,-1.7303720103199268e-21,1.7526254077103854e-24,-1.530180294351464e-27,1.1631043197412414e-30,-7.672207557327292e-34,4.3287972776046444e-37,-2.023909853379222e-40,7.225096133074723e-44,-1.3644851699081363e-47,-5.3785346580202e-51,7.677296508182064e-54,-5.28116631356673e-57
110.0,-0.1,6.250000000000001e-05,-1.0416666666666668e-07,3.333333333333333e-10,-7.465277777777777e-13,1.1935763888888886e-15,-1.507471478174603e-18,1.5996162643298056e-21,-1.4607532104276893e-24,1.144959641053391e-27,-7.549475695905817e-31,4.015545092205249e-34,-1.5405412971950984e-37,2.1586994787394212e-41,2.722295072377873e-44,-3.246972300215206e-47,2.3027462422253434e-50,-1.2919252114728183e-53,0
90.0,-0.0625,-2.083333333333333e-05,2.2916666666666663e-07,-5.624999999999999e-10,9.244791666666665e-13,-1.218377976190476e-15,1.3718377976190475e-18,-1.321890156525573e-21,1.0581579998897709e-24,-6.669145259640053e-28,2.8909415438278293e-31,-2.9797053994102645e-35,-8.92931453573272e-38,1.0870043710348614e-40,-8.317410748353829e-44,5.042914171796031e-47,-2.6065695613713663e-50,0,0
65.0,-0.075,0.0001625,-3.333333333333333e-07,5.468749999999999e-10,-7.812499999999999e-13,9.765625e-16,-1.0075644841269842e-18,7.944258432539684e-22,-4.0905395723104065e-25,2.6911444554673774e-29,2.1162181399811605e-31,-2.798178609946188e-34,2.3680816595313123e-37,-1.5745670684383637e-40,8.828497435752675e-44,-4.3407362491408868e-47,0,0,0
50.0,-0.01,-3.7500000000000003e-05,1.0416666666666667e-07,-2.3437500000000003e-10,3.9062500000000006e-13,-4.3402777777777787e-16,2.6351686507936516e-19,5.81287202380952e-23,-3.552310681216931e-25,4.924794353505291e-28,-4.599410523889691e-31,3.358833704835224e-34,-2.040706132096106e-37,1.073982162287439e-40,-5.061858561498165e-44,0,0,0,0
48.0,-0.025,2.5000000000000005e-05,-8.333333333333335e-08,1.5625000000000003e-10,-1.3020833333333336e-13,-6.510416666666667e-17,3.565228174603175e-19,-5.812872023809524e-22,6.297278025793651e-25,-5.1939087990520285e-28,3.461790367714847e-31,-1.947002238614652e-34,9.664439223087228e-38,-4.445754061620103e-41,0,0,0,0,0
43.0,-0.015,-2.5000000000000005e-05,4.1666666666666676e-08,2.6041666666666667e-11,-2.0833333333333337e-13,4.3402777777777777e-16,-5.735367063492063e-19,5.522228422619048e-22,-4.0905395723104065e-25,2.4220300099206355e-28,-1.2110150049603177e-31,5.657519593880272e-35,-2.78367214944906e-38,0,0,0,0,0,0
40.0,-0.025,0.0,6.250000000000001e-08,-1.822916666666667e-10,3.1250000000000003e-13,-3.6892361111111116e-16,3.100198412698413e-19,-1.840742807539683e-22,7.535204475308645e-26,-2.4220300099206365e-29,1.4678969757094767e-32,-1.5800279946872833e-35,0,0,0,0,0,0,0
35.0,-0.025,3.7500000000000003e-05,-8.333333333333334e-08,1.3020833333333334e-10,-1.3020833333333334e-13,6.510416666666667e-17,1.5500992063492058e-20,-4.844060019841269e-23,2.6911444554673715e-26,8.073433366402118e-30,-2.3241702115400031e-32,0,0,0,0,0,0,0,0
30.0,-0.01,-1.2499999999999999e-05,2.083333333333333e-08,0.0,-5.208333333333333e-14,8.680555555555555e-17,-6.200396825396825e-20,0.0,4.305831128747795e-26,-4.305831128747795e-29,0,0,0,0,0,0,0,0,0
28.0,-0.015,0.0,2.083333333333333e-08,-5.208333333333333e-11,5.208333333333333e-14,0.0,-6.200396825396825e-20,7.750496031746031e-23,-4.305831128747795e-26,0,0,0,0,0,0,0,0,0,0
25.0,-0.015,1.2499999999999999e-05,-2.083333333333333e-08,0.0,5.208333333333333e-14,-8.680555555555555e-17,6.200396825396825e-20,0.0,0,0,0,0,0,0,0,0,0,0,0
22.0,-0.01,0.0,-2.083333333333333e-08,5.208333333333333e-11,-5.208333333333333e-14,0.0,6.200396825396825e-20,0,0,0,0,0,0,0,0,0,0,0,0
20.0,-0.01,-1.2499999999999999e-05,2.083333333333333e-08,0.0,-5.208333333333333e-14,8.680555555555555e-17,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0,-0.015,0.0,2.083333333333333e-08,-5.208333333333333e-11,5.208333333333333e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0,-0.015,1.2499999999999999e-05,-2.083333333333333e-08,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.0,-0.01,0.0,-2.083333333333333e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0,-0.01,-1.2499999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.0,-0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
